kick,蹴る
violation,違反
sail,帆
thermal,熱の
occupation,職業
urge,強く促す
extraordinary,並外れた
painful,痛い
excess,過剰
demon,悪魔
organize,整理する
parameter,パラメータ
behave,振る舞う
tightly,きつく
moderate,適度な
agriculture,農業
reject,拒否する
manuscript,原稿
agenda,議題
cake,ケーキ
mile,マイル
approval,承認
shed,流す
lip,唇
firmly,しっかりと
cheap,安い
diameter,直径
hungry,空腹の
vertical,垂直の
sensitivity,感受性
curriculum,カリキュラム
execution,実行
pin,ピン
applicable,適用可能な
drain,排出する
verb,動詞
stare,じっと見る
classic,古典的な
gather,集める
temporal,時間的な
lucky,運が良い
tent,テント
grief,深い悲しみ
knee,膝
equity,公正
competitive,競争の激しい
regardless,関係なく
interior,内側
statistical,統計の
unity,統一
polymer,高分子
modification,修正
similarity,類似
museum,博物館
opponent,相手
juice,ジュース
attorney,弁護士
divorce,離婚
fever,熱
collaboration,協力
coal,石炭
ideology,イデオロギー
foster,育てる
quote,引用する
arch,アーチ
margin,余白
blanket,毛布
testimony,証言
attract,引きつける
suspicion,疑い
empire,帝国
regulate,規制する
perceive,知覚する
enforcement,施行
logical,論理的な
orange,オレンジ
immune,免疫のある
critique,批評
negotiate,交渉する
flag,旗
explicitly,明確に
vulnerable,傷つきやすい
substitute,代わり
lend,貸す
jaw,あご
aesthetic,美的な
craft,工芸
assault,暴行
lightly,軽く
consult,相談する
pregnant,妊娠している
dragon,ドラゴン
alongside,〜と並んで
battery,電池
pity,哀れみ
equilibrium,均衡
differently,異なって
pro,賛成
fraction,一部
tune,曲
terror,恐怖
precious,貴重な
attractive,魅力的な
vice,悪徳
shield,盾
obey,従う
altogether,完全に
cloth,布
destination,目的地
virtual,仮想の
cabin,小屋
defence,防御
attain,達成する
dramatic,劇的な
besides,〜に加えて
ceremony,式典
adaptation,適応
tunnel,トンネル
jacket,ジャケット
paint,塗料
asset,資産
exploit,活用する
ceiling,天井
activation,活性化
convention,大会
harvest,収穫
castle,城
combat,戦闘
abroad,海外で
pan,鍋
literally,文字通り
everybody,みんな
neighbor,隣人
explicit,明確な
confess,告白する
incorporate,組み入れる
readily,容易に
merchant,商人
indication,兆候
belt,ベルト
gay,同性愛者
people,人々
particle,粒子
persuade,説得する
weekend,週末
behalf,代表
funny,面白い
register,登録する
lens,レンズ
bet,賭ける
holiday,休日
eternal,永遠の
adjustment,調整
personally,個人的に
constitution,憲法
valid,有効な
commander,司令官
identical,同一の
mercy,慈悲
linguistic,言語の
electrical,電気の
assignment,課題
secretary,秘書
induce,引き起こす
brave,勇敢な
guilt,罪悪感
reign,統治
compensation,補償
adventure,冒険
residence,住居
composite,複合の
solar,太陽の
meaningful,意味のある
echo,反響
associate,関連づける
patch,当て布
wrist,手首
alter,変更する
profound,深い
intimate,親密な
insist,主張する
tie,結ぶ
pursuit,追求
adoption,採用
wolf,オオカミ
compliance,順守
km,キロメートル
absent,不在の
leather,革
carrier,運搬人
productivity,生産性
scent,香り
lap,ひざ
adjust,調整する
torture,拷問
electricity,電気
artery,動脈
wage,賃金
reliable,信頼できる
thumb,親指
confident,自信がある
bitter,苦い
couch,ソファ
tough,厳しい
strict,厳格な
module,モジュール
elaborate,手の込んだ
overview,概要
genuine,本物の
occurrence,出来事
expenditure,支出
contest,競争
wrap,包む
sentiment,感情
lamp,ランプ
suicide,自殺
twin,双子
acceptable,受け入れられる
fabric,布地
privacy,プライバシー
fence,フェンス
affection,愛情
conceptual,概念的な
justify,正当化する
ticket,切符
neutral,中立の
precise,正確な
recommend,勧める
healthcare,医療
aunt,おば
dawn,夜明け
blend,混合する
cigarette,タバコ
proposition,提案
needle,針
minimize,最小限にする
cheese,チーズ
artificial,人工の
chat,おしゃべり
apple,リンゴ
dirty,汚い
statute,法令
unexpected,予期しない
amongst,〜の間に
inclusion,包含
availability,利用可能性
lifetime,一生
intend,意図する
hook,フック
sufficiently,十分に
trans,トランスジェンダー
ruler,支配者
horizon,地平線
stack,積み重ね
imperial,帝国の
convert,変換する
punch,殴る
theatre,劇場
monster,怪物
promotion,昇進
default,初期設定
alliance,同盟
heal,癒す
respective,それぞれの
hire,雇う
filling,詰め物
dig,掘る
neural,神経の
slavery,奴隷制度
grandfather,祖父
thoroughly,徹底的に
gut,腸
sympathy,同情
theology,神学
merit,価値
membership,会員資格
guest,客
deposit,預金
aircraft,航空機
prevention,予防
subsequently,その後に
mortality,死亡率
pepper,コショウ
usage,使用法
cope,対処する
desperate,絶望的な
egg,卵
container,容器
grandmother,祖母
occupy,占める
emperor,皇帝
launch,開始する
leaf,葉
elbow,ひじ
facility,施設
lateral,側面の
badly,ひどく
impulse,衝動
expertise,専門知識
governor,知事
eastern,東の
integrity,誠実さ
internet,インターネット
modeling,モデル化［=modelling］〈アメリカ英語〉
enforce,施行する
assert,主張する
currency,通貨
surgical,外科の
forbid,禁じる
unlikely,ありそうにない
curtain,カーテン
mobility,移動性
departure,出発
behavioral,行動の［=behavioural］〈アメリカ英語〉
therapeutic,治療の
server,サーバー
bench,ベンチ
cultivation,耕作
mineral,鉱物
breach,違反
archive,保管所
brilliant,素晴らしい
stake,賭け金
genre,ジャンル
drama,ドラマ
integrate,統合する
curiosity,好奇心
temper,気質
judicial,司法の
cattle,牛
hierarchy,階層
blank,空白の
formulation,構成
differential,差異
physically,身体的に
relax,くつろぐ
eager,熱望している
dignity,尊厳
prophet,預言者
attachment,添付
sustain,持続する
transportation,輸送
overlap,重なる
derivative,派生物
invest,投資する
stimulus,刺激
progressive,進歩的な
comparative,比較の
surrender,降伏する
rhythm,リズム
affair,出来事
freely,自由に
manufacture,製造する
somebody,誰か
chill,冷やす
alert,警戒
sole,唯一の
bullet,弾丸
mathematical,数学の
paradigm,枠組み
shout,叫ぶ
widespread,広範囲の
revolutionary,革命的な
unconscious,無意識の
tape,テープ
myth,神話
bound,縛られた
metaphor,隠喩
restore,回復する
illustration,例示
sheep,羊
legitimate,正当な
regression,後退
ache,痛み
snake,ヘビ
script,台本
roughly,おおよそ
span,期間
delicate,繊細な
charm,魅力
indigenous,先住の
laser,レーザー
cow,雌牛
telephone,電話
uncomfortable,不快な
scratch,ひっかく
audit,監査
heritage,遺産
nevertheless,それでもなお
aggregate,合計
jury,陪審
ecosystem,生態系
skirt,スカート
mature,成熟した
interfere,干渉する
integral,不可欠な
trigger,引き金
autonomy,自治
robot,ロボット
grid,格子
