mosaicism	モザイク現象
microcephaly	小頭症
typha	ガマ
antepartum	出生前|出産前
bedchamber	寝室 (bedroom)
underactive	abnormally inactive
kuznets	クズネッツ
granulate	〈砂糖など〉‘を'粒[状]にする|〈紙・革など〉‘の'表面をざらざらにする|粒[状]になる|表面がざらざらになる
reprocess	再利用|リサイクル
upholsterer	いす張り職人;室内装飾人
testing	試験の|極めて困難な
intercommunication	相互通信|相互連絡
coelacanth	シーラカンス(白亜期以来絶滅したと考えられていたが|1938年に南アフリカ沖で発見された原始魚類)
defiler	a person or organization that causes pollution of the environment
intestacy	the situation of being or dying without a legally valid will
unstimulated	刺激されていない
matriarchy	女家長制|女族長制度
commoditization	コモディティ化|日用品化
homesteader	someone who settles lawfully on government land with the intent to acquire title to it
chian	of or relating to Chios
dorsally	in a dorsal location or direction
eolian	風の堆積(たいせき)作用による|風成の
acylation	アシル化
panoptic	全面的|総括的|全般的
tostada	a flat tortilla with various fillings piled on it|a crisp flat tortilla
swatter	ぴしゃっと打つ人(物)|はえたたき
defeatism	敗北主義
autograft	tissue that is taken from one site and grafted to another site on the same person; "skin from his thigh replaced the burned skin on his arms"|tissue that is taken from one site and grafted to another site on the same person
genotyped	遺伝子型を決定
volar	relating to the palm of the hand or the sole of the foot; "the volar surface"; "the palmar muscle"|relating to the palm of the hand or the sole of the foot
thermodynamically	熱力学的
scirpus	ホタルイ属
neoclassicism	(美術・文学などの)新古典主義
xeroderma	乾皮症
negligee	ネグリジェ
villous	絨毛
resuspend	再懸濁
interbreed	〈動物・植物〉‘を'異種のものと交配させる
puerperium	産褥期|産褥
bobolink	(北米産の)コメクイドリ
dawah	missionary work for Islam
bruxism	ブラキシズム
ergodicity	エルゴード性
branchial	of or relating to gills (or to parts of the body derived from embryonic gills)
saccharide	糖|糖類|含水炭素|サッカライド|サッカリド|炭水化物|糖分|糖質
forager	食糧徴発隊
androgyny	雌雄同性(同体)
disunion	分離|分裂|=disunity
shepherdess	女の羊飼い
decapitate	首を切る
rueful	後悔している
smugness	気取っていること
befit	に適する|ふさわしい|似合う
rawness	未熟さ|不完全|痛み|ひりひりすること|不案内|未経験|乳臭
bunuel	ブニュエル
garlicky	relating to or tasting or smelling of garlic; "garlicky sauce"|relating to or tasting or smelling of garlic
holmium	ホルミウム(希土類金属元素;化学記号は『Ho』)
zanuck	ザナック
endemism	nativeness by virtue of originating or occurring naturally (as in a particular place)
secateurs	せん定ばさみ|植木ばさみ
exploitive	tending to exploit or make use of
shovelhead	small harmless hammerhead having a spade-shaped head; abundant in bays and estuaries|small harmless hammerhead having a spade-shaped head|abundant in bays and estuaries
echinococcosis	エキノコックス症
derivational	characterized by inflections indicating a semantic relation between a word and its base; "the morphological relation between `sing' and `singer' and `song' is derivational"|characterized by inflections indicating a semantic relation between a word and its base
antipode	direct opposite; "quiet: an antipode to focused busyness"|direct opposite
