mystical	神話的な
recurrence	再発
drawback	戻し税|欠点|障害
darn	繕う|かがる|繕い
visionary	幻の|非現実的な|夢のような|空想家|空想
warden	刑務所長|管理人|看守(長)|番人|長官|監督者|巡視員|学長|校長|理事|役員|監督保護する
authenticate	信頼できることを証明する
underwood	下草(したくさ) 2|アンダーウッド|人名
breakout	脱走
sonny	坊や
longevity	(lɑndʒévəṭi)長生き|長寿|生命|寿命
lux	ルクス(照度の国際単位)
sterile	実のならない|不妊の|不毛の|無菌の
importer	輸入商
krona	(複‐nor)クローナ(スウェーデンの貨幣単位)|(複‐nur)クローナ(アイスランドの貨幣単位)
botany	植物学
upland	高地|高台|高地の|高台の
vocalist	声楽家
venom	悪意|毒|毒液|うらみ|に毒を注ぐ|悪意で満たす
allegro	(音楽の演奏の指示で)急速に(な)|アレグロ
materially	大いに|かなり|実質的に|物質的に
hummingbird	ハチドリ
dreamy	夢のような
spoof	いたずらにだますこと|いたずらにだます
backstage	舞台裏(の)
crypt	地下室
acquaintance	面識|知識|知人|知合い
intuition	直観
giggle	くすくす笑う|笑いながら言う|くすくす笑い
aquifer	帯水層
tuxedo	タキシード
dagger	短剣(暗殺の象徴)
qq	questions
collier	(炭鉱の)坑夫|石炭船
lash	さっと動かす|鞭|マツゲ
hostility	戦争行為|敵意|敵性|敵愾心|反抗|敵対行為|反対|対立
cultivate	交際を求める|耕作する|耕す|養殖する
proclaim	宣言する|公表する|を声明する|を公然と示す
greed	欲張り|貧欲|どん欲
commando	特殊部隊
lastly	最後に
herring	ニシン|鰊
firearm	小火器
quorum	定足数
expectancy	予測値
coffin	棺|棺桶|かんおけ|ひつぎ|(=casket)|ぼろ船|棺に入れる|納棺する
plow	(馬･牛に引かせる)すき(犂)|耕す|すきで耕す|(=plough)|cf|hoe(鍬|くわ)
participatory	参加の
intermittent	断続する|途切れ途切れの
budgetary	予算の
bearer	運搬人|使者|(手形などの)持参人|実のなる植物
cruelty	残酷
hustle	押しのけて進む|精をだす|せきたたて～させる|ハッスル
spongebob	スポンジボブ(テレビアニメ名)
fractional	分数の
ideological	イデオロギーの
geriatric	老人(病)学|老人の|老人向けの|老人病の|おいぼれた
concierge	アパートなどの管理人(通例女性)
rheumatoid	リウマチ(様)の|リウマチにかかった
thence	そこから|それから|その時から
polarization	偏向|分極|分極化
understandable	(言葉･理論などが)理解できる|分かり易い|道理にかなった
shea	shea butterシアバター|(アカテツ科のシアーバターノキ)|(その種子の胚から得られる植物性脂肪がシアバター)|(Shear刈る|は別語)
hammock	ハンモック
practicable	実行可能な|通行できる|実際的な|実用的な|使用できる
ancestor	祖先|先祖|始祖|原型
coastline	海岸線
canonical	正統な|権威のある|聖書正典の(と認められた)
believer	信奉者|教徒|信ずる人|信者
notary	公証人
nifty	粋な(stylish)|楽しい(pleasing)|気が利いた|格好いい|素晴らしい
utmost	最大限の|最上の|極度の|最高の|一番端の|極限|全力
scrape	こすること|こすった跡|をこする|をこすりつけてけがをする|すれる
disbursement	支払い|出費|支出
skeletal	骨格の|骸骨(がいこつ)の|非常にやせ(衰え)た
shoppe	(shopの古い綴り)(主に店の看板に用いて)小さな店
shove	強く押す|(～を)押す|を突っ込む|押しやる
anthrax	(医)炭疽(たんそ)病(家畜|人の伝染病)
deity	神|神性
juniper	トショウ(杜松)|ネズ(常緑の低木で球果は紫色で薬用またはジン酒の味付けに用いられる)
shockwave	衝撃波
stink	悪臭(を放つ)|スキャンダル|騒動|ひどいもんだ|どうしようもない|化学
negatively	マイナスに|否定的に
spinach	ホウレンソウ
ancillary	補助的な|副の
planar	二次元の|平面の|平面的な
adequacy	妥当性
paralegal	弁護士助手
oscillator	発振器
cavalry	機甲部隊|騎兵隊|騎兵|騎馬隊
deformation	形をくずすこと
comeback	復帰|返り咲き|カムバック|再起
prevalent	普及した|流行の|一般的な|有力な
pip	(リンゴ･ナシなどの)種|不機嫌|(トランプ･さいころの)目|(ひなが)ピヨピヨ鳴く|(卵の殻を)破って出る|(時報の)ピッという音|(相手を)打ち負かす
repertoire	レパートリー|上演目録|演奏曲目
prostitution	売春|堕落
joker	冗談を言う人|ふざけ屋|やつ|(トランプ)ジョーカー
horseback	馬の背|馬に乗って|低い切りたった尾根
terribly	恐ろしく|ものすごく
earnest	まじめな|熱心な|真剣な|重大な
skew	曲り|歪み|曲げる|歪む
myocardial	心筋の
homme	オム|フランス語で「男性」|女性は「Femme」
everytime	毎回
sander	サンドペーパーをかける人|砂まきトラック|砂まき装置|砂まき器
catchment	貯水池|集水
foreman	作業長|職長|現場主任|現場監督者
glider	グライダー
campsite	キャンプ場
creditor	債権者
aloe	アロエ|ロカイ(ユリ科の植物)|リュウゼツラン|アロエ汁は下剤に使われる
abrasive	すり減らす|研磨剤|研磨の|不快な
pertain	に関係がある|属する|ふさわしい
deacon	執事|カトリックの助祭
outback	奥地|未開拓の奥地
muddy	どろだらけの|泥だらけの|泥の|ぬかるみの|濁った|さえない
quicken	はやくなる|急がせる|を生き返らせる
allegiance	忠誠|忠実
seneca	セネカ|Lucius Annaeus Seneca(4 BC?-AD 65|ローマの哲学者･政治家)
oceanic	大洋の;《O-》大洋州(オセアニア)の|大洋に住む|大洋のような|巨大な
flair	勘|傾向|直感|ひらめき|第六感|嗅覚|識別力|素質
comprehend	を理解する|把握する|を包含する|含む
quarantine	隔離(させる)|検疫(させる)|隔離所|隔離期間
festive	お祝いの|陽気な
awakening	目覚め
pictorial	絵の|絵画の(ような)|画家の|絵入新聞|絵入り雑誌
waiter	給仕|ボーイ
ode	叙情詩|オード
penthouse	ペントハウス|高級な高層アパートメントの最上階の住まい
myriad	無数の|無数
flamingo	フラミンゴ(鳥)
uninsured	無保険の
ambiguous	あいまいな|両義にとれる|不明瞭な
originator	創始者|創設者|発起人|起案者|本家|開祖
righteousness	正義|正直|正しさ|実直
unicorn	一角獣(角のある伝説上の動物)
discriminatory	差別的な
tableware	《集合的に》卓上食器類(皿・ナイフ・フォーク・スプーンなど)
lama	ラマ僧
suction	吸水管|吸引力|吸引|飲酒
ache	痛む
prioritize	優先順位を決める|を優先^する(させる)|優先順位をつける
lilac	リラ|ライラック|薄紫色(の)
plural	複数の|複数形|複数形の
teak	チークの木
adjective	形容詞
shank	すね(の骨･肉)|すね状の物|柄
hillside	丘の中腹
loch	湖|入り江
omission	遺漏|省略|怠慢
applaud	拍手かっさいする|賞賛する|拍手する
nomad	遊牧民|流浪者
speculate	思索する|熟考する|推測する|投機する|に投資する|を思惑買い(売り)する
methane	メタン
tumour	(主に英国)腫瘍(=tumor)
comptroller	(会計･銀行)検査官|監査官
epoch	時代|新時代を開くできごと|銘記すべきできごと|新しい時代のあけぼの|新紀元
doorway	戸口
correctness	正しさ
wacky	気違いじみた|風変わりな|ばかげた
fairway	(川･港などの)航路|フェアウエー
implication	(かくれた)意味|暗示|(類語connotation)
dreamer	夢みる人|夢見る人|夢想家
bazaar	バザー
relativity	相対性物理学|相対論|相対性原理
confuse	(人)を困らせる|を混乱させる|を混同する
quay	波止場
navigational	航行の
awaken	目をさまさせる
cavern	大洞穴|洞穴|洞窟
multiplex	多重送信する|多重送信システム
insanity	狂気(のさた)|精神異常
waffle	ワッフル|無駄口をきく|曖昧な態度をとる
toad	ヒキガエル|いやなやつ
vl	Vulgar
oversized	特大の
sibling	(男女の別をつけない)兄弟|兄弟姉妹 
airbag	エアバッグ(自動車事故けが防止装置;自動的に空気がはいってふくらむ)
polytechnic	工芸の|工芸学校|科学技術専門学校
tickle	くすぐったい|をくすぐる(=titillate)|を満足させる|を喜ばせる
ashamed	恥ずかしがって|恥ずかしく思う|恥て
commemorate	記念する|を祝う
gathering	集まること|集会
ire	怒り|憤怒|を怒らせる|anger
scribe	作家|新聞記者|筆記者|写本筆写者|書記|書く|writer|newsman
unabridged	省略してない|完全な|無削除の
dickens	驚きや婉曲な悪口をあらわす
saucer	皿|茶碗の受け皿|小皿|空飛ぶ円盤
synchronous	同時(性)の|同時に起こる|同位相の|同期の
folly	愚かさ|愚行
mermaid	(女の)人魚|女子水泳選手
preparatory	入学準備の|準備の|予備となる|予備の|進学準備の
serpent	ヘビ|蛇(snakeより文語的表現|また大型のイメージ)
moo	モー(と鳴く)|牛の鳴き声|牛肉|牛乳|愚かなやつ
dune	砂丘|砂の小山
homelessness	家がないこと|ホームレスであること
stony	石だらけの|無感覚な|石の(多い)
weep	すすり泣く|泣く|しくしく泣く|しずくをたらす|涙を流す
missy	(呼びかけで)お嬢さん|娘さん
trucker	トラック運送業者|トラック運転手|交易者|行商人
turnout	出席数|人出|投票者数|集合|turn outすること
lessen	小さくなる(する)|減少する(させる)
helium	ヘリウム(希ガス元素)|元素記号He
furry	毛皮のような|あわただしさ
screwdriver	ねじ回し|ウオッカとオレンジジュースのカクテル
wonderfully	驚くほど|不思議なほど|素晴らしく
whitewater	川の急流(ｔorrent)
workgroup	ワークグループ
congenital	先天的な|生来の
underestimate	過小評価する
barge	遊覧船|荷船|はしけ
finely	立派に|きちんと
depository	保管所|倉庫|保管人|受託者
robotic	ロボットの(ような)|ロボット利用の
flagship	最も重要なもの|旗艦
maestro	大音楽家|大作曲家|名指揮者|(芸術の)巨匠|大家
rodent	齧歯(げっし)動物|齧歯類の|かじる
dialysis	透析
tram	市街電車|路面電車|電車で行く|電車軌道|線路
noticeable	目立つ|著しい
tabletop	卓上
smoker	喫煙者|喫煙家|発煙物|喫煙できる車両(客室)
beep	時報音|ビーッと鳴る|プープー|車のクラクションの音
catastrophe	悲劇的結末|大変動|破局|大災害|大失敗
benign	良性の|恵み深い|親切な|優しい|温和な|(病気が)悪性でない
bale	ベイル(大型荷物)|梱包する
dunno	don't know
evidently	明らかに
unforgettable	忘れられない
elemental	自然の力による|元素状態で存在する|要素の|元素の|原理的な|基本的な|自然力の
lore	知識|学問|教え|伝承|伝承による知識
bod	《英話》人;(特に)男
genuinely	真に|純粋に
subcontract	下請け契約|外注|下請けに出す|下請け負いする
songbook	歌集|賛美歌集
slant	傾斜|傾向|斜めになる|偏る
souvenir	記念品|土産|おみやげ
wicker	邪悪な|小枝|枝編み細工
mojo	魔法のパワー(a magic power)|魔法の呪文(a magic spell)
decisive	決定的な|断固とした
typewriter	タイプライター
genotype	遺伝子型
immersion	水(液体)に浸すこと|浸礼(全身洗礼)|没頭すること
swarm	いっぱいになる|群がる|群れ|昆虫の群れ|群衆
annals	年代記|記録
storytelling	嘘をつく|物語を話す|物語の話術
sadness	悲しみ|悲しさ
dictator	独裁者
periodical	定期刊行の|周期的な|定期刊行物
recital	リサイタル|独奏|独演会
bombing	爆撃
pianist	ピアニスト|ピアノをひく人
sabre	サーベル|軍刀|をサーベルで切る|saber
corset	コルセット
lettuce	レタス
accomplishment	達成|完成|才能
onwards	前方へ
bogus	偽の|いんちきの|にせものの|偽りの
anemia	貧血(Anemia of Chronic Disease　慢性疾患性貧血)
clubhouse	クラブ会館|運動選手のロッカー室
tat	ぼろを縫い合わせた敷物|粗製ズック|薄汚い服|みすぼらしい人|安っぽいもの|軽打|tattoo|カンバス地|タッチングtattingで作る|糸をかがって作る
bunk	(船･列車の)寝だな|寝台|ごまかし|逃亡|ごろ寝する
dusk	黄昏(たそがれ)
nouveau	ヌーヴォー|新しい(仏語)
customary	習慣的の|慣習の|いつもの|例の
vertically	垂直に
cautious	注意深い|用心深い
malt	麦芽|モルト
